Area,Var,Val
Harbor,Pop,877567
Harbor,PopDens,4545
Harbor,Income,53345
Harbor,PctDegree,21
Harbor,PctRenter,51.7
Southwest,Pop,735964
Southwest,PopDens,7002
Southwest,Income,47635
Southwest,PctDegree,33.8
Southwest,PctRenter,50.8
Devonshire (San Fernando Valley),Pop,1435854
Devonshire (San Fernando Valley),PopDens,6394
Devonshire (San Fernando Valley),Income,90686
Devonshire (San Fernando Valley),PctDegree,26.3
Devonshire (San Fernando Valley),PctRenter,49.1
Hollenbeck (Central),Pop,836638
Hollenbeck (Central),PopDens,14485
Hollenbeck (Central),Income,47566
Hollenbeck (Central),PctDegree,27.3
Hollenbeck (Central),PctRenter,81.4
South Bureau,Pop,749453
South Bureau,PopDens,14671
South Bureau,Income,30450
South Bureau,PctDegree,8.2
South Bureau,PctRenter,63.1
Westside,Pop,529427
Westside,PopDens,5227
Westside,Income,40651
Westside,PctDegree,53.2
Westside,PctRenter,60.8
